Type,Quartier,Price,Area,Rooms,Bedrooms,Bathrooms,Status
Appartement,Hay Houda,546000,63,3,2,2,Nouveau
Appartement,Hay Houda,979000,89,4,3,2,Nouveau
Appartement,Hay Houda,1012000,92,4,3,2,Nouveau
Appartement,Hay Houda,966000,84,4,3,2,Nouveau
Appartement,Hay Houda,957000,87,4,3,2,Nouveau
Appartement,Abattoirs,640000,80,3,N/A,N/A,Nouveau
Appartement,Abattoirs,8000,80,4,2,2,Nouveau
Appartement,Abattoirs,720000,90,3,2,N/A,Nouveau
Appartement,Haut Founty,,83,4,2,1,Nouveau
Villa,Founti,,400,6,3,3,Nouveau
Appartement,Hay Houda,890000,81,4,3,2,Nouveau
Appartement,Talborjt,1250000,85,3,2,2,Nouveau
Appartement,Hay Dakhla,900000,100,4,3,1,Bon état
Appartement,Hay Houda,630000,72,3,2,2,Nouveau
Appartement,Talborjt,2950000,180,5,3,2,Nouveau
Appartement,Haut Founty,1310000,84,3,2,1,Nouveau
Appartement,Haut Founty,1251160,80,3,2,1,Nouveau
Maison,Taddart,4200000,260,6,4,2,Bon état
Appartement,Secteur Touristique,570000,47,2,1,1,Bon état
Appartement,Haut Founty,980500,64,1,2,2,Nouveau
Appartement,Hay Najah,1100000,90,3,2,1,Bon état
Appartement,Secteur Touristique,2400000,101,5,3,2,Nouveau
Appartement,Tikiouine,400000,70,4,3,2,Nouveau
Maison,Tilila,,112,3,6,4,Nouveau
Maison,Hay Houda,1700000,67,15,4,6,Bon état
Appartement,Hay Salam,680000,71,3,2,2,Bon état
Appartement,Hay Salam,630000,80,5,2,1,Nouveau
Appartement,Hay Salam,640000,65,3,2,1,Nouveau
Appartement,Amicales,1530000,100,3,3,2,Bon état
Appartement,Hay Mohammadi,470000,50,5,2,1,Bon état
Appartement,Haut Founty,1200000,79,4,2,2,Nouveau
Appartement,Hay Salam,560000,78,3,2,2,Nouveau
Appartement,Haut Founty,790000,50,2,1,1,Nouveau
Appartement,Abattoirs,800000,100,3,N/A,N/A,Nouveau
Appartement,Abattoirs,960000,120,3,2,N/A,Nouveau
Appartement,Hay Houda,549000,58,3,2,2,Nouveau
Appartement,Hay Houda,624000,65,3,2,2,Nouveau
Maison,Charaf,2500000,130,5,3,2,Bon état
Appartement,Founti,2400000,124,4,3,2,Bon état
Maison,Hay Salam,1750000,88,6,4,3,Bon état
Appartement,Hay Mohammadi,,78,1,2,1,Nouveau
Appartement,Anahda,1250000,85,3,2,2,Nouveau
Appartement,Hay Mohammadi,1080000,110,6,3,1,Nouveau
Appartement,Hay Mohammadi,,107,N/A,2,2,N/A
Appartement,Haut Founty,2450000,160,4,3,2,Nouveau
Appartement,Founti,2900000,153,4,3,2,Bon état
Villa,Founti,5700000,300,7,5,4,Bon état
Appartement,Hay Houda,880000,93,4,3,1,Bon état
Villa,Siusse,4800000,310,7,4,4,Bon état
Villa,Siusse,6800000,500,5,4,2,Bon état
Appartement,Ville Nouvelle,2500000,184,4,3,2,Bon état
Villa,Founti,4400000,218,5,3,3,Bon état
Appartement,Haut Founty,1297350,83,3,2,1,Nouveau
Maison,Bouargane,,58,4,4,2,Bon état
Appartement,Hay Mohammadi,,96,5,2,2,Bon état
Appartement,Haut Founty,1233640,80,3,2,1,Nouveau
Villa,Illigh,15000,300,13,5,2,Nouveau
Villa,Siusse,3000000,200,4,3,2,Nouveau
Appartement,Haut Founty,1183700,80,3,2,2,Nouveau
Appartement,Haut Founty,1284800,82,2,2,1,Nouveau
Appartement,Secteur Touristique,2600000,100,3,2,2,Bon état
Appartement,Ville Nouvelle,2700000,100,3,2,2,Nouveau
Appartement,Secteur Touristique,1900000,75,2,1,2,Bon état
Appartement,Haut Founty,992600,65,1,2,2,Nouveau
Appartement,Haut Founty,1695360,105,4,3,2,Nouveau
Appartement,Haut Founty,598880,40,2,1,1,Nouveau
Appartement,Haut Founty,696600,46,2,1,1,Nouveau
Appartement,Secteur Touristique,1900000,66,3,2,1,Bon état
Appartement,Ville Nouvelle,5970000,115,3,2,2,Bon état
Appartement,Hay Mohammadi,1200000,91,3,2,2,Bon état
Appartement,Founti,5900000,243,1,3,4,Bon état
Appartement,Secteur Touristique,,75,3,2,1,Nouveau
Appartement,Hay Mohammadi,1750000,172,4,3,2,Nouveau
Villa,Illigh,6800000,370,7,5,5,Bon état
Appartement,Ville Nouvelle,7500000,250,6,3,3,Nouveau
Villa,Charaf,3000000,120,7,3,2,Nouveau
Villa,Secteur Touristique,4800000,300,8,5,3,Bon état
Appartement,Ville Nouvelle,1600000,83,1,2,1,Bon état
Appartement,Hay Houda,1300000,64,1,1,1,Nouveau
Appartement,Tilila,380000,50,3,2,1,Bon état
Appartement,Hay Massira,710000,90,3,2,2,Bon état
Appartement,Hay Mohammadi,960000,104,3,2,2,Bon état
Villa,Cité Adrar,,200,4,5,3,Nouveau
Appartement,Hay Houda,650000,67,2,3,2,Nouveau
Appartement,Secteur Touristique,3300000,133,4,2,2,Nouveau
Appartement,Secteur Touristique,,140,1,2,2,Bon état
Appartement,Hay Salam,670000,62,3,3,1,Nouveau
Maison,Tilila,8600000,150,3,3,2,Nouveau
Appartement,Hay Salam,1300000,95,4,4,2,Nouveau
Appartement,Secteur Touristique,1900000,85,3,1,2,Nouveau
Appartement,Hay Mohammadi,2000000,160,5,3,2,Bon état
Maison,Charaf,2200000,150,5,4,2,Bon état
Maison,Tilila,2900000,112,13,5,3,Bon état
Villa,Hay Najah,5400000,330,8,5,4,Nouveau
Maison,Riad Salam,3500000,130,9,4,4,Nouveau
Appartement,Hay Salam,630000,61,5,2,1,Bon état
Appartement,Abattoirs,1650000,114,N/A,2,1,N/A
Appartement,Hay Salam,630000,61,2,2,1,Bon état
Appartement,Secteur Touristique,2000000,78,2,1,2,Bon état
Maison,Founti,1600000,100,4,3,1,À rénover
Appartement,Anahda,1250000,85,3,2,2,Nouveau
Maison,Tilila,3500000,110,3,6,3,Nouveau
Maison,Hay Houda,,80,6,4,3,Nouveau
Appartement,Hay Salam,660000,60,N/A,2,1,N/A
Villa,Secteur Touristique,7800000,500,7,4,4,Bon état
Villa,Founti,4750000,309,6,5,3,Bon état
Maison,Amicales,1460000,108,5,4,2,À rénover
Appartement,Taddart Anza,460000,60,5,2,2,Nouveau
Appartement,Hay Dakhla,520000,52,2,1,1,Nouveau
Appartement,Tilila,,150,1,1,1,Nouveau
Villa,Founti,4500000,330,3,5,3,Bon état
Appartement,Haut Founty,,92,5,2,1,Nouveau
Appartement,Haut Founty,,92,5,2,1,Bon état
Maison,Haut Anza,960000,280,2,5,3,Bon état
Maison,Taddart Anza,960000,203,2,5,3,Bon état
Maison,Haut Anza,960000,203,2,5,3,Nouveau
Appartement,Hay Dakhla,1150000,88,3,2,2,Nouveau
Villa,Founti,6500000,270,9,5,4,Bon état
Appartement,Riad Salam,1300000,83,3,2,2,Bon état
Appartement,Hay Houda,750000,70,5,2,1,Bon état
Appartement,Zone Industrielle Agadir,,87,3,2,2,Bon état
Maison,Cité Adrar,1200000,64,3,3,1,Nouveau
Maison,Tilila,3000000,112,3,3,2,Nouveau
Appartement,Tilila,840000,78,3,3,2,Nouveau
Appartement,Anahda,920000,76,3,2,1,À rénover
Appartement,Hay Mohammadi,1250000,103,N/A,2,2,N/A
Appartement,Taddart Anza,520000,100,4,4,1,Nouveau
Appartement,Abattoirs,1000000,100,4,4,1,Nouveau
Appartement,Tilila,15000,114,5,3,2,Nouveau
Appartement,Cité Adrar,350000,52,3,3,1,Nouveau
Maison,Hay Salam,2000000,84,3,3,2,Nouveau
Appartement,Hay Salam,600000,52,3,3,1,Nouveau
Maison,Cité Adrar,2000000,96,3,3,2,Nouveau
Appartement,Extension Dakhla,800000,70,3,3,2,Nouveau
Maison,Tikiouine,,120,2,3,2,Bon état
Appartement,Hay Houda,1030000,80,3,2,1,Bon état
Maison,Amicales,1460000,106,6,4,2,À rénover
Maison,Hay Dakhla,2000000,133,6,4,2,Bon état
Appartement,Founti,2500000,125,1,3,2,Bon état
Maison,Ben Serguaou,1018340,300,1,7,4,Bon état
Appartement,Secteur Touristique,4900000,162,3,2,1,Bon état
Appartement,Secteur Touristique,350000,140,1,2,2,Nouveau
Appartement,Riad Salam,770000,72,3,2,1,Bon état
Maison,Riad Salam,3500000,400,7,5,3,Bon état
Appartement,Abattoirs,1410000,143,4,2,2,Nouveau
Appartement,Hay Mohammadi,1050000,88,4,3,2,Bon état
Maison,Founti,2400000,203,12,3,3,Bon état
Villa,Hay Najah,3600000,354,9,6,3,Bon état
Appartement,Haut Founty,1170000,109,3,2,1,Nouveau
Appartement,Secteur Touristique,950000,85,3,2,1,Bon état
Maison,Charaf,1900000,130,5,3,2,Bon état
Appartement,Hay Salam,,56,2,3,1,Bon état
Appartement,Hay Mohammadi,320000,50,3,2,1,Nouveau
Appartement,Hay Mohammadi,1600000,120,3,2,2,Bon état
Villa,Founti,4900000,216,5,3,4,Nouveau
Appartement,Taddart,1800000,151,N/A,2,1,N/A
Appartement,Hay Salam,910000,100,6,2,2,Bon état
Appartement,Hay Mohammadi,1600000,166,5,3,2,Bon état
Villa,Ben Serguaou,5300000,450,6,4,3,Bon état
Villa,Taddart,3000000,150,4,3,2,Bon état
Appartement,Abattoirs,1700000,114,3,3,2,Nouveau
Appartement,Haut Anza,300000,60,3,2,1,Bon état
Villa,Talborjt,450000,220,8,4,3,Bon état
Appartement,Hay Salam,520000,61,3,3,1,Bon état
Appartement,Hay Houda,900000,105,3,2,2,Bon état
Appartement,Riad Salam,1500000,94,4,3,2,Nouveau
Appartement,Hay Houda,900000,90,6,2,2,Bon état
Appartement,Abattoirs,1100000,95,3,2,2,Bon état
Appartement,Lekhiam,900000,84,N/A,3,1,N/A
Appartement,Hay Salam,720000,72,N/A,2,1,N/A
Appartement,Ben Serguaou,1000000,90,N/A,2,2,N/A
Appartement,Extension Dakhla,969000,76,3,2,2,Bon état
Appartement,Zone Industrielle Agadir,,115,3,2,2,Nouveau
Appartement,Charaf,1200000,94,1,2,2,Bon état
Appartement,Haut Anza,380000,64,1,2,1,Nouveau
Appartement,Hay Mohammadi,800000,50,2,1,1,Nouveau
Appartement,Hay Salam,900000,62,1,2,1,Bon état
Appartement,Amicales,1400000,85,1,3,2,Nouveau
Villa,Ben Serguaou,4500000,338,5,4,4,Nouveau
Appartement,Haut Founty,1282000,83,3,2,1,Nouveau
Appartement,Abattoirs,1600000,114,4,3,2,Bon état
Appartement,Hay Houda,960000,105,N/A,2,1,N/A
Villa,Illigh,6800000,380,14,5,5,Bon état
Appartement,Tilila,750000,62,6,2,2,Nouveau
Appartement,Hay Mohammadi,500000,48,1,2,1,Bon état
Maison,Extension Dakhla,1360000,75,4,4,2,Bon état
Appartement,Tilila,,68,3,2,1,Nouveau
Appartement,Hay Massira,1300000,86,1,2,2,Nouveau
Appartement,Hay Salam,680000,64,3,2,1,Bon état
Appartement,Secteur Touristique,,200,7,4,2,Bon état
Appartement,Amicales,1200000,80,5,2,1,Bon état
Maison,Hay Hassani,,81,5,9,6,Nouveau
Appartement,Hay Mohammadi,490000,70,4,2,1,Bon état
Villa,Founti,4000000,300,3,4,2,Bon état
Appartement,Tikiouine,,70,7,7,3,Bon état
Appartement,Hay Houda,950000,70,1,2,2,Bon état
Appartement,Hay Mohammadi,,80,1,2,2,Nouveau
Maison,Hay Massira,520000,82,1,4,2,Bon état
Appartement,Hay Salam,,64,3,2,1,Nouveau
Appartement,Riad Salam,1450000,96,4,3,2,Bon état
Appartement,Hay Mohammadi,1950000,172,4,3,3,Nouveau
Appartement,Hay Houda,920000,105,6,2,2,Bon état
Appartement,Hay Mohammadi,1060000,110,1,1,2,Nouveau
Appartement,Lekhiam,,117,1,3,2,Bon état
Appartement,Hay Houda,700000,70,2,3,2,Bon état
Appartement,Hay Salam,950000,72,3,1,2,Nouveau
Maison,Bouargane,400000,100,1,5,2,À rénover
Appartement,Founti,1900000,89,3,2,1,Bon état
Appartement,Tilila,750000,82,N/A,2,1,N/A
Villa,Tilila,3800000,200,N/A,4,4,N/A
Appartement,Hay Mohammadi,950000,91,N/A,2,2,N/A
Appartement,Hay Salam,620000,65,N/A,2,1,N/A
Appartement,Hay Massira,1750000,175,N/A,3,2,N/A
Appartement,Hay Salam,630000,65,N/A,2,1,N/A
Appartement,Hay Salam,1100000,114,N/A,3,2,N/A
Appartement,Hay Dakhla,750000,80,N/A,2,1,N/A
Villa,Founti,6000000,171,N/A,4,3,N/A
Appartement,Hay Mohammadi,1550000,198,N/A,3,2,N/A
Appartement,Founti,1750000,91,N/A,2,2,N/A
Appartement,Hay Dakhla,700000,87,N/A,2,1,N/A
Villa,Tikiouine,3200000,292,N/A,4,2,N/A
Appartement,Hay Houda,1400000,79,N/A,2,1,N/A
Appartement,Founti,2100000,96,N/A,2,1,N/A
Villa,Illigh,,370,6,4,2,Bon état
Maison,Haut Anza,960000,203,2,5,3,Bon état
Appartement,Hay Mohammadi,1100000,101,3,2,2,Nouveau
Appartement,Haut Founty,1328000,85,2,2,2,Nouveau
Maison,Talborjt,,70,4,3,3,Bon état
Maison,Hay Dakhla,1600000,150,2,4,2,Bon état
Maison,Hay Salam,2300000,96,9,6,4,Bon état
Appartement,Hay Mohammadi,380000,56,1,3,1,Bon état
Appartement,Hay Mohammadi,600000,64,5,2,1,Bon état
Appartement,Extension Dakhla,4200000,432,1,8,4,Bon état
Appartement,Hay Houda,680000,65,3,2,1,Bon état
Maison,Tikiouine,1950000,75,6,6,3,Nouveau
Appartement,Hay Mohammadi,,50,1,2,1,Bon état
Villa,Illigh,13000000,629,5,4,4,Bon état
Appartement,Hay Salam,600000,65,3,3,1,Nouveau
Appartement,Hay Mohammadi,920000,86,3,3,2,Nouveau
Villa,Hay Zaytoun,5500000,320,4,4,2,Nouveau
Appartement,Amsernate,620000,68,1,2,2,Bon état
Appartement,Hay Salam,,80,1,2,1,Bon état
Appartement,Hay Salam,570000,60,1,3,2,Bon état
Appartement,Hay Houda,660000,67,3,2,2,Bon état
Maison,Hay Al Wafaa,500000,153,14,14,8,Bon état
Appartement,Hay Mohammadi,,50,1,2,1,Bon état
Villa,Taddart,3200000,282,2,5,3,Bon état
Appartement,Hay Najah,1550000,130,3,2,2,Bon état
Appartement,Hay Najah,1350000,102,4,3,2,Nouveau
Appartement,Talborjt,,100,4,2,2,Bon état
Villa,Founti,3700000,166,6,5,4,Bon état
Appartement,Secteur Touristique,,91,2,2,1,Bon état
Villa,Charaf,2000000,120,4,3,1,Bon état
Appartement,Haut Founty,1250000,105,5,2,1,Nouveau
Appartement,Secteur Touristique,2950000,128,1,2,2,Nouveau
Villa,Haut Founty,,136,12,6,5,Nouveau
Villa,Taddart,2900000,150,5,3,2,Bon état
Appartement,Hay Mohammadi,370000,52,3,3,1,Nouveau
Villa,Bouargane,4000000,354,N/A,4,2,N/A
Villa,Hay Dakhla,5000000,366,N/A,3,2,N/A
Villa,Hay Houda,3700000,300,N/A,3,3,N/A
Villa,Port,9500000,480,N/A,6,4,N/A
Villa,Port,16000000,644,N/A,6,4,N/A
Appartement,Hay Mohammadi,850000,96,1,1,1,Nouveau
Appartement,Haut Founty,3700000,134,5,4,2,Nouveau
Appartement,Hay Mohammadi,620000,58,3,2,1,Nouveau
Appartement,Founti,2600000,200,4,3,2,Nouveau
Appartement,Hay Salam,880000,81,3,2,1,Bon état
Appartement,Hay Mohammadi,1200000,86,4,3,2,Nouveau
Appartement,Secteur Touristique,3400000,146,8,3,2,Bon état
Maison,Boutchakat,2500000,210,6,3,2,Bon état
Appartement,Founti,1700000,89,1,2,2,Bon état
Appartement,Zone Industrielle Agadir,1357000,192,3,2,2,Nouveau
Maison,Ben Serguaou,1800000,110,7,5,4,À rénover
Appartement,Hay Mohammadi,1100000,96,3,3,2,Nouveau
Appartement,Hay Mohammadi,960000,96,2,2,2,Bon état
Maison,Lekhiam,1250000,80,8,6,3,À rénover
Appartement,Port,2100000,124,5,2,2,Nouveau
Appartement,Boutchakat,1260000,96,1,3,2,Bon état
Appartement,Port,2200000,130,5,2,2,Bon état
Appartement,Ville Nouvelle,380000,52,3,2,1,Bon état
Appartement,Hay Salam,,100,3,4,2,Nouveau
Appartement,Secteur Touristique,,137,3,2,1,Nouveau
Villa,Hay Mohammadi,2960000,264,1,1,1,Nouveau
Appartement,Secteur Touristique,1800000,80,2,1,2,Bon état
Appartement,Hay Mohammadi,1100000,71,4,2,1,Bon état
Appartement,Al Wifaq,1150000,89,2,2,1,Nouveau
Appartement,Hay Houda,1100000,105,4,3,2,Bon état
Appartement,Haut Anza,560000,64,5,2,2,Nouveau
Appartement,Hay Dakhla,650000,70,3,2,1,Bon état
Appartement,Hay Najah,1000000,105,3,2,2,Bon état
Appartement,Abattoirs,1030000,79,3,2,2,Nouveau
Villa,Secteur Touristique,4900000,240,7,6,4,Bon état
Appartement,Secteur Touristique,3250000,150,4,3,2,Bon état
Appartement,Hay Dakhla,900000,150,3,2,2,Bon état
Appartement,Founti,1750000,96,3,2,1,Bon état
Appartement,Secteur Touristique,2600000,125,3,2,1,Bon état
Appartement,Amsernate,900000,101,3,2,1,Bon état
Appartement,Secteur Touristique,2750000,128,3,2,2,Bon état
Villa,Founti,4500000,178,7,5,3,Nouveau
Maison,Tilila,7000,300,4,4,4,Bon état
Appartement,Hay Dakhla,1750000,173,6,3,2,Bon état
Appartement,Hay Houda,,81,1,2,2,Bon état
Villa,Hay Najah,3900000,315,8,5,4,Nouveau
Appartement,Taddart Anza,640000,128,5,3,2,Nouveau
Appartement,Hay Mohammadi,800000,84,1,2,2,Bon état
Appartement,Hay Mohammadi,740000,70,4,2,1,Nouveau
Appartement,Founti,2850000,135,3,2,2,Bon état
Villa,Cité Adrar,1600000,131,5,3,2,À rénover
Villa,Taddart,3300000,220,3,4,2,Bon état
Appartement,Haut Founty,3600000,280,4,4,3,Nouveau
Appartement,Lekhiam,,100,2,2,2,Nouveau
Appartement,Zone Industrielle Agadir,900000,107,4,2,2,Nouveau
Appartement,Cité Adrar,7500000,84,3,2,1,Bon état
Appartement,Hay Salam,880000,62,3,2,1,Bon état
Appartement,Riad Salam,1300000,94,4,3,2,Nouveau
Maison,Al Wifaq,3500000,170,4,4,2,Nouveau
Maison,Ben Serguaou,2600000,126,3,3,2,Nouveau
Appartement,Hay Mohammadi,660000,55,2,2,1,Nouveau
Appartement,Tilila,780000,70,3,2,1,Bon état
Appartement,Hay Mohammadi,,80,2,2,2,Bon état
Villa,Hay Najah,3400000,200,6,8,5,Bon état
Villa,Hay Houda,3800000,460,8,4,3,À rénover
Appartement,Hay Mohammadi,,71,1,2,2,Nouveau
Appartement,Haut Founty,800000,66,2,1,1,Nouveau
Appartement,Hay Mohammadi,850000,93,3,2,2,Bon état
Appartement,Hay Mohammadi,,94,1,2,2,Bon état
Appartement,Hay Mohammadi,420000,50,1,2,1,Bon état
Villa,Tilila,2500000,131,6,3,3,Bon état
Maison,Cité Adrar,1900000,80,7,5,3,Bon état
Appartement,Hay Houda,880000,88,3,2,2,Bon état
Villa,Hay Najah,3400000,200,8,5,4,Bon état
Appartement,Hay Mohammadi,1250000,114,4,3,2,Nouveau
Appartement,Hay Mohammadi,530000,52,3,2,1,Bon état
Appartement,Hay Houda,1860000,154,5,3,2,Nouveau
Appartement,Hay Mohammadi,650000,64,1,2,2,Nouveau
Appartement,Anza,1400000,95,3,3,2,Nouveau
Maison,Hay Dakhla,2400000,170,2,5,2,À rénover
Appartement,Hay Houda,,98,3,3,2,Nouveau
Appartement,Hay Mohammadi,,127,2,3,2,Nouveau
Appartement,Ville Nouvelle,600000,60,2,2,2,Bon état
Appartement,Hay Salam,900000,76,3,2,1,Nouveau
Appartement,Bouargane,950000,125,4,3,2,Bon état
Appartement,Hay Mohammadi,,60,1,2,2,Nouveau
Villa,Hay Dakhla,3300000,370,7,4,2,Bon état
Appartement,Anza,750000,56,2,2,2,Bon état
Appartement,Secteur Touristique,,170,2,3,3,Nouveau
Villa,Illigh,,350,3,3,3,Nouveau
Appartement,Hay Salam,475000,68,4,2,1,Bon état
Villa,Tilila,3000000,320,7,4,3,Bon état
Appartement,Amsernate,650000,68,1,2,2,Bon état
Appartement,Hay Mohammadi,,60,2,2,2,Nouveau
Villa,Ben Serguaou,,300,2,4,1,Bon état
Appartement,Riad Salam,950000,110,3,2,2,Bon état
Maison,Charaf,,99,3,3,1,Bon état
Appartement,Hay Mohammadi,1387500,111,1,3,2,Nouveau
Appartement,Riad Salam,,114,1,3,2,Bon état
Villa,Hay Mohammadi,2950000,264,1,3,2,Nouveau
Appartement,Hay Mohammadi,540000,61,3,3,1,Nouveau
Appartement,Hay Houda,490000,50,3,1,1,Bon état
Maison,Cité Adrar,1000000,64,2,2,1,Nouveau
Appartement,Cité Adrar,350000,52,3,3,1,Nouveau
Maison,Cité Adrar,3200000,80,3,3,2,Nouveau
Appartement,Tilila,380000,52,3,3,1,Nouveau
Appartement,Amsernate,,100,1,2,2,Bon état
Appartement,Hay Mohammadi,420000,54,1,2,1,Bon état
Appartement,Hay Salam,460000,64,3,3,1,Nouveau
Appartement,Hay Mohammadi,570000,60,3,3,2,Nouveau
Appartement,Hay Mohammadi,450000,52,3,3,1,Nouveau
Appartement,Hay Dakhla,968000,94,3,2,1,Nouveau
Appartement,Hay Salam,800000,80,7,3,2,Bon état
Appartement,Hay Dakhla,1750000,175,6,3,3,Bon état
Maison,Zone Industrielle Agadir,2400000,80,1,1,1,Bon état
Maison,Hay Salam,6500000,124,3,3,2,Nouveau
Maison,Hay Massira,2600000,81,3,3,2,Nouveau
Villa,Hay Dakhla,2700000,360,5,5,4,Nouveau
Maison,Hay Houda,1700000,120,3,3,1,Nouveau
Appartement,Secteur Touristique,2000000,120,4,4,2,Nouveau
Appartement,Hay Massira,1200000,83,1,2,2,Bon état
Villa,Founti,,380,7,5,4,Bon état
Appartement,Talborjt,630000,58,1,3,1,Bon état
Appartement,Founti,2800000,186,5,3,3,Bon état
Appartement,Riad Salam,1200000,94,1,3,2,Bon état
Appartement,Founti,1700000,94,3,2,2,Nouveau
Appartement,Haut Founty,1245000,83,3,2,2,Nouveau
Appartement,Tilila,800000,72,1,2,2,Bon état
Appartement,Hay Houda,620000,68,3,2,1,Bon état
Appartement,Al Wifaq,900000,76,4,3,2,Nouveau
Appartement,Hay Mohammadi,850000,94,4,3,2,Nouveau
Appartement,Hay Salam,520000,64,1,2,1,Bon état
Villa,Charaf,1650000,120,1,4,2,Bon état
Maison,Lekhiam,,80,1,5,3,Bon état
Maison,Al Wifaq,2000000,120,3,3,2,Nouveau
Appartement,Haut Founty,1440000,97,4,4,2,Nouveau
Maison,Cité Adrar,1600000,67,3,3,1,Nouveau
Appartement,Secteur Touristique,2800000,112,3,3,2,Nouveau
